paper_id,author_id,author_order
P00043,A00106,2
P00043,A00107,3
P00044,A00062,1
P00044,A00063,2
P00044,A00066,3
P00045,A00108,1
P00045,A00109,2
P00045,A00110,3
P00045,A00111,4
P00045,A00112,5
P00045,A00113,6
P00046,A00086,1
P00046,A00007,2
P00047,A00114,1
P00047,A00115,2
P00047,A00116,3
P00048,A00088,1
P00048,A00089,2
P00048,A00005,3
P00048,A00004,4
P00048,A00117,5
P00048,A00090,6
P00048,A00118,7
P00049,A00119,1
P00049,A00120,2
P00050,A00121,1
P00050,A00122,2
P00050,A00123,3
P00050,A00124,4
P00051,A00125,1
P00051,A00126,2
P00051,A00127,3
P00051,A00128,4
P00052,A00129,1
P00052,A00004,2
P00052,A00102,3
P00052,A00005,4
P00053,A00130,1
P00054,A00131,1
P00054,A00132,2
P00054,A00133,3
P00054,A00134,4
P00055,A00030,1
P00055,A00135,2
P00056,A00136,1
P00056,A00137,2
P00056,A00138,3
P00056,A00139,4
P00056,A00140,5
P00056,A00141,6
P00056,A00142,7
P00056,A00067,8
P00056,A00143,9
P00056,A00083,10
P00056,A00063,11
P00056,A00144,12
P00056,A00145,13
P00056,A00146,14
P00056,A00066,15
P00057,A00147,1
P00057,A00148,2
P00057,A00149,3
P00057,A00150,4
P00058,A00151,1
P00058,A00114,2
P00059,A00152,1
P00059,A00153,2
P00060,A00154,1
P00060,A00155,2
P00060,A00156,3
P00060,A00157,4
P00060,A00158,5
P00060,A00159,6
P00060,A00160,7
P00061,A00161,1
P00061,A00162,2
P00061,A00163,3
P00061,A00164,4
P00061,A00165,5
P00062,A00166,1
P00062,A00167,2
P00062,A00168,3
P00062,A00169,4
P00062,A00141,5
P00062,A00170,6
P00062,A00144,7
P00062,A00171,8
P00063,A00172,1
P00063,A00173,2
P00064,A00174,1
P00064,A00175,2
P00065,A00176,1
P00065,A00177,2
P00065,A00026,3
P00065,A00025,4
P00065,A00178,5
P00065,A00179,6
P00065,A00180,7
P00065,A00181,8
P00066,A00182,1
P00066,A00183,2
P00066,A00184,3
P00066,A00185,4
P00066,A00186,5
P00066,A00187,6
P00066,A00188,7
P00067,A00096,1
P00067,A00189,2
P00067,A00190,3
P00067,A00191,4
P00067,A00192,5
P00067,A00097,6
P00068,A00030,1
P00068,A00193,2
P00068,A00033,3
P00068,A00194,4
P00068,A00195,5
P00068,A00196,6
P00069,A00177,1
P00069,A00025,2
P00069,A00026,3
P00069,A00197,4
P00069,A00052,5
P00070,A00193,1
P00070,A00033,2
P00070,A00030,3
P00070,A00194,4
P00070,A00198,5
P00070,A00196,6
P00071,A00199,1
P00071,A00200,2
P00071,A00201,3
P00071,A00202,4
P00071,A00004,5
P00072,A00203,1
P00072,A00204,2
P00072,A00205,3
P00072,A00123,4
P00072,A00206,5
P00072,A00207,6
P00072,A00208,7
P00072,A00209,8
P00073,A00210,1
P00073,A00211,2
P00073,A00212,3
P00073,A00213,4
P00073,A00214,5
P00073,A00215,6
P00074,A00156,1
P00074,A00154,2
P00075,A00216,1
P00075,A00217,2
P00076,A00216,1
P00076,A00217,2
P00077,A00114,1
P00077,A00218,2
P00077,A00118,3
P00077,A00091,4
P00077,A00003,5
P00077,A00002,6
P00077,A00219,7
P00077,A00090,8
P00077,A00220,9
P00078,A00221,1
P00078,A00222,2
P00078,A00223,3
P00078,A00224,4
P00078,A00225,5
P00078,A00226,6
P00078,A00227,7
P00078,A00228,8
P00078,A00229,9
P00078,A00179,10
P00078,A00230,11
P00078,A00231,12
P00078,A00022,13
P00078,A00013,14
P00078,A00232,15
P00078,A00233,16
P00078,A00234,17
P00078,A00235,18
P00079,A00004,1
P00079,A00236,2
P00079,A00237,3
P00080,A00238,1
P00080,A00239,2
P00080,A00240,3
P00080,A00241,4
P00080,A00008,5
P00080,A00009,6
P00080,A00242,7
P00080,A00051,8
P00081,A00243,1
P00081,A00244,2
P00081,A00245,3
P00081,A00246,4
P00081,A00247,5
P00081,A00248,6
P00082,A00189,1
P00082,A00249,2
P00083,A00250,1
P00083,A00251,2
P00083,A00030,3
P00084,A00252,1
P00084,A00253,2
P00084,A00254,3
P00084,A00255,4
P00085,A00149,1
P00085,A00148,2
P00085,A00256,3
P00085,A00257,4
P00086,A00258,1
P00086,A00259,2
P00086,A00260,3
P00086,A00261,4
P00086,A00262,5
P00087,A00263,1
P00087,A00072,2
P00087,A00212,3
P00088,A00062,1
P00088,A00063,2
P00088,A00264,3
P00088,A00170,4
P00088,A00067,5
P00088,A00265,6
P00089,A00266,1
P00089,A00267,2
P00090,A00268,1
P00090,A00269,2
P00090,A00270,3
P00091,A00271,1
P00091,A00272,2
P00092,A00273,1
P00092,A00274,2
P00092,A00275,3
P00093,A00032,1
P00093,A00276,2
P00093,A00277,3
P00093,A00278,4
P00093,A00279,5
P00093,A00039,6
P00093,A00280,7
P00094,A00281,1
P00094,A00153,2
P00094,A00156,3
P00095,A00282,1
P00095,A00283,2
P00095,A00284,3
P00095,A00285,4
P00096,A00153,1
P00096,A00286,2
P00096,A00287,3
P00096,A00039,4
P00097,A00288,1
P00097,A00289,2
P00098,A00290,1
P00098,A00291,2
P00099,A00292,1
P00099,A00293,2
P00099,A00294,3
P00100,A00148,1
P00100,A00256,2
P00100,A00149,3
P00100,A00257,4
P00101,A00295,1
P00101,A00296,2
P00101,A00297,3
P00101,A00033,4
P00101,A00193,5
P00101,A00298,6
P00101,A00299,7
P00101,A00300,8
P00101,A00030,9
P00101,A00301,10
P00101,A00198,11
P00101,A00302,12
P00102,A00282,1
P00102,A00283,2
P00102,A00284,3
P00102,A00285,4
P00103,A00303,1
P00103,A00167,2
P00103,A00138,3
P00103,A00304,4
P00103,A00305,5
P00103,A00141,6
P00103,A00306,7
P00103,A00307,8
P00103,A00308,9
P00103,A00067,10
P00103,A00075,11
P00103,A00076,12
P00103,A00309,13
P00103,A00144,14
P00103,A00145,15
P00104,A00310,1
P00104,A00311,2
P00104,A00075,3
P00104,A00063,4
P00104,A00312,5
P00104,A00313,6
P00104,A00314,7
P00104,A00315,8
P00105,A00316,1
P00105,A00317,2
P00105,A00318,3
P00105,A00319,4
P00105,A00271,5
P00106,A00264,1
