author_id,author_name
A00673,T.A. Fritz
A00674,C.T. Russell
A00675,W.K. Peterson
A00676,Y. Kasahara
A00677,I. Kimura
A00678,S. Watanabe
A00679,G.G. Arkos
A00680,H. Fukunishi
A00681,R.F. Pfaff
A00682,F.S. Mozer
A00683,S.-Y. Hsieh
A00684,M.O. Chandler
A00685,T. L. Gulyaeva
A00686,R. G. Beausoleil
A00687,D. Sigg
A00688,J. Domysławska
A00689,D. Lisak
A00690,R.S. Trawiński
A00691,Eftyhia Zesta
A00692,Mark J. Engebretson
A00693,A. J. Lazarus
A00694,K. I. Paularena
A00695,EA Essex
A00696,PA Webb
A00697,I Horvath
A00698,HA Cohen
A00699,J. Oberheide
A00700,M. Riese
A00701,P. Preusse
A00702,D. Offermann
A00703,A. Thorolfsson
A00704,W. J. Hughes
A00705,D. Murr
A00706,H. Nakano
A00707,Y. Matsuda
A00708,S. Nagai
A00709,Glenn C. Hussey
A00710,C. M. Hall
A00711,K. A. McWilliams
A00712,G. Provan
A00713,D. A. Neudegg
A00714,Gerhard Haerendel
A00715,Wolfgang Baumjohann
A00716,B. Nikutowski
A00717,J. Büchner
A00718,Uli Auster
A00719,K.-H. Fornacon
A00720,E. Georgescu
A00721,G. Hussey
A00722,A. T. Y. Lui
A00723,Brian J. Jackel
A00724,N. M. Wade
A00725,J. A. Wild
A00726,Hamza A. M.
A00727,Matthias Huber
A00728,W. Lyatsky
A00729,D. Andre
A00730,O.I. Yagodkina
A00731,V.G. Vorob'ev
A00732,A. V. Koustov
A00733,R. Ciurylo
A00734,M.E. Tobar
A00735,R. Strangeway
A00736,R. B. Horne
A00737,C. W. Carlson
A00738,J. P. McFadden
A00739,L. Xu
A00740,F.W. Menk
A00741,C.L. Waters
A00742,B.J. Fraser
A00743,T. Takeuchi
A00744,O. Rasmussen
A00745,T. Nagai
A00746,O. A. Pokhotelov
A00747,Y. G. Khabazin
A00748,R. K. Shukla
A00749,L. Stenflo
A00750,T. Kikuchi
A00751,A. Rodger
A00752,T. Kitamura
A00753,H. Tachihara
A00754,M. Watanabe
A00755,N. Sato
A00756,M. Ruohoniemi
A00757,Periyadan T. Jayachandran
A00758,A. Laurence Gray
A00759,Karim E. Mattar
A00760,H. Takizawa
A00761,Igor Voronkov
A00762,Eric F. Donovan
A00763,William J. Burke
A00764,Jens Oberheide
A00765,Maura E. Hagan
A00766,Martin Riese
A00767,Dirk Offermann
A00768,H.E.J Koskinen
A00769,A.M Mälkki
A00770,T.I Pulkkinen
A00771,I Sandahl
A00772,E.Yu Budnik
A00773,A.O Fedorov
A00774,R.A Greenwald
A00775,K.B Baker
A00776,L.A Frank
A00777,J.B Sigwarth
A00778,W.K Peterson
A00779,Bram J. J. Slagmolen
A00780,Malcolm B. Gray
A00781,Karl G. Baigent
A00782,David E. McClelland
A00783,J.M.C. Plane
A00784,V. A. Pilipenko
A00785,Evgeniy N. Fedorov
A00786,J. F. Watermann
A00787,M. Fleischhauer
A00788,A. B. Matsko
A00789,M. O. Scully
A00790,D. A. Andre
A00791,James H. Hecht
A00792,D. L. McKenzie
A00793,J. P. Thayer
A00794,P. E. Sandholt
A00795,Y.F Gao
A00796,P.J Chi
A00797,G Le
