author_id,author_name
A00848,R. Strangeway
A00849,G. Parks
A00850,M. Fillingim
A00851,J. Sigwarth
A00852,P. Cruce
A00853,Alexander Drozdov
A00854,E. W. Grimes
A00855,N. Hatzigeorgiu
A00856,D. A. King
A00857,J. W. Lewis
A00858,J. M. McTiernan
A00859,D. A. Roberts
A00860,C. L. Russell
A00861,J. B. Faden
A00862,M. McCarthy
A00863,J. G. Sample
A00864,D. M. Smith
A00865,L. A. Woodger
A00866,Arnaud Masson
A00867,A. A. Narock
A00868,T. Segawa
A00869,Kanako Seki
A00870,Sunny W. Y. Tam
A00871,N. Umemura
A00872,B.-J. Wang
A00873,S.-Y. Wang
A00874,J. Vandegriff
A00875,S. Abe
A00876,Masahito Nose
A00877,S. UeNo
A00878,P. Dunn
A00879,C. Fowler
A00880,J. S. Halekas
A00881,T. Hara
A00882,Y. Harada
A00883,C. O. Lee
A00884,R. Lillis
A00885,D. L. Mitchell
A00886,M. R. Argall
A00887,K. Bromund
A00888,James L. Burch
A00889,M. Galloy
A00890,B. Giles
A00891,M. Oka
A00892,T. D. Phan
A00893,Brian M. Walsh
A00894,J. Westlake
A00895,F. D. Wilder
A00896,S. D. Bale
A00897,R. Livi
A00898,M. Pulupa
A00899,P. Whittlesey
A00900,A. DeWolfe
A00901,B. Harter
A00902,E. Lucas
A00903,Ferdinand Plaschke
A00904,P. Robert
A00905,R. M. Candey
A00906,R. C. Johnson
A00907,T. Kovalick
A00908,M. H. Liu
A00909,R. E. McGuire
A00910,K. Kersten
A00911,P. Schroeder
A00912,XiaoYing Sun
A00913,YunPeng Hu
A00914,Zeren Zhima
A00915,SuPing Duan
A00916,FangXian Lv
A00917,XuHui Shen
A00918,David Russel Themens
A00919,Anthony M. McCaffrey
A00920,Bharat S. R. Kunduri
A00921,M. Sitnov
A00922,Rumi Nakamura
A00923,K.-H. Glassmeier
A00924,V. Uritsky
A00925,BinBin Ni
A00926,M. Kubyshkina
A00927,Akimasa Yoshikawa
A00928,Kento Fukui
A00929,S. Nakano
A00930,Naoko Takahashi
A00931,N. Higashio
A00932,T.-F. Chang
A00933,Beatriz Gallardo-Lacourt
A00934,Robert McPherron
A00935,J. Brent Parham
A00936,Vincent Beukelaers
A00937,Lawrence Leung
A00938,James Mason
A00939,S.-R. Zhang
A00940,A. J. Coster
A00941,Asti Bhatt
A00942,Elizabeth Kendall
A00943,M. M. Lam
A00944,C. M. Jackman
A00945,Jasmine K. Sandhu
A00946,Huayu Zhao
A00947,Xu-Zhi Zhou
A00948,Qiu-Gang Zong
A00949,Ying Liu
A00950,Yongfu Wang
A00951,Jie Ren
