paper_id,instrument_id,instrument_status
P00962,I00007,uses
P00963,I00005,uses
P00964,I00005,uses
P00965,I00007,uses
P00966,I00016,uses
P00967,I00003,uses
P00967,I00001,uses
P00968,I00007,uses
P00969,I00005,uses
P00970,I00006,uses
P00971,I00007,uses
P00972,I00006,uses
P00973,I00007,uses
P00974,I00002,uses
P00975,I00005,uses
P00976,I00001,uses
P00977,I00001,uses
P00978,I00005,uses
P00979,I00001,uses
P00979,I00006,uses
P00980,I00013,uses
P00981,I00013,uses
P00981,I00005,uses
P00982,I00010,uses
P00982,I00013,uses
P00982,I00005,uses
P00983,I00006,uses
P00984,I00005,uses
P00985,I00016,uses
P00985,I00003,uses
P00985,I00004,uses
P00985,I00001,uses
