author_id,author_name
A00818,H. Deconinck
A00819,L. R. Lyons
A00820,Gang Lu
A00821,P. B. Byrne
A00822,Jeffrey Thayer
A00823,M. A. McCready
A00824,Kathryn A. McWilliams
A00825,J. Sigwarth
A00826,G. Haerendel
A00827,W. Baumjohann
A00828,U. Auster
A00829,J.M. Rees
A00830,C.R. Wilford
A00831,R.J. Moffett
A00832,Z.C. Dent
A00833,I.R. Mann
A00834,D. J. Knudsen
A00835,B. Jackel
A00836,W. D. Shaw
A00837,Akira Sessai Yukimatu
A00838,Masaki Tsutsumi
A00839,Gary A. Abel
A00840,Mervyn. P. Freeman
A00841,P.G. Hanlon
A00842,K.A. McWilliams
A00843,Nozomu Nishitani
A00844,Tadahiko Ogawa
A00845,Jean-Paul Villain
A00846,Oleg Troshichev
A00847,Robin Barnes
A00848,E. E. Woodfield
A00849,Keisuke Hosokawa
A00850,I. J. Coleman
A00851,M.T. Syrjäsuo
A00852,E.F. Donovan
A00853,L L Cogger
A00854,E F Donovan
A00855,D J Knudsen
A00856,J S Murphree
A00857,T S Trondsen
A00858,G.A. Makarov
A00859,S.I. Solov'ev
A00860,J. M. Forbes
A00861,X. Zhang
A00862,E. R. Talaat
A00863,J.‐P. St‐Maurice
A00864,P. T. Newell
A00865,David K. Milling
A00866,J. Wild
A00867,S. D. Bale
A00868,Hitoshi Matsuoka
A00869,A. Sessai Yukimatu
A00870,H. Yamagishi
A00871,P. Ponomarenko
A00872,R. Liu
A00873,T. Goka
A00874,Kan Liou
A00875,Simon G. Shepherd
A00876,Thomas S. Sotirelis
A00877,J. Michael Ruohoniemi
A00878,Robin J. Barnes
A00879,H. Tamada
A00880,D. Tsubutani
A00881,N. Kawate
A00882,T. Inaba
A00883,S. Matsuyama
A00884,K. Imakawa
A00885,S. Sakai
A00886,R.K. Christenson
A00887,T. Sawada
A00888,K. Takahashi
A00889,D.‐H. Lee
A00890,B. J. Anderson
A00891,J. M. Hughes
A00892,William. A. Bristow
A00893,R. J. Barnes
A00894,Paul Chodas
A00895,Seppo Mikkola
A00896,Paul Wiegert
A00897,Christian Veillet
A00898,Kimmo Innanen
A00899,E.E. Woodfield
A00900,J.A. Davies
A00901,Takeshi Sakanoi
A00902,Hiroshi Fukunishi
A00903,Shoichi Okano
A00904,Akira S. Yukimatu
A00905,Adrian Grocott
A00906,S. R. Beagley
A00907,J. C. McConnell
A00908,N. A. McFarlane
A00909,T. G. Shepherd
A00910,J. A. Wanliss
A00911,V. Munsami
A00912,B. Damtie
A00913,T. Nygrén
A00914,M. S. Lehtinen
A00915,W.K. Peterson
A00916,H.L. Collin
A00917,M. Boehm
A00918,A.W. Yau
A00919,S. Roupassov
A00920,J. R. Jasperse
A00921,R. Pottelette
A00922,Charles W. Carlson
A00923,I. Roth
A00924,Matthieu Berthomier
A00925,A. Kozlovsky
A00926,Alexander Koustov
A00927,G. Parks
A00928,D. Chua
A00929,C. A. Ward
A00930,D.A. Neudegg
A00931,G.B. Burns
A00932,R.J. Morris
A00933,M.J. Underwood
A00934,C.A. Ward
A00935,J.A.W. Elliott
A00936,L. J. Baddeley
A00937,Per Even Sandholt
A00938,Charles J. Farrugia
A00939,Stan Cowley
A00940,Steve Milan
A00941,William F. Denig
A00942,Bjørn Lybekk
A00943,Espen Trondsen
A00944,Vjacheslav Vorobjev
A00945,A. Vontrat-Reberac
A00946,B. Van der Holst
A00947,L. Van Driel-Gesztelyi
A00948,Á. Csík
A00949,A. Milesi
A00950,Donald W. Danskin
A00951,Satonori Nozawa
A00952,R. D. Sydora
A00953,Mike Foote
A00954,Catherine Senior
A00955,Jean‐Claude Cerisier
A00956,Adalbjorn Thorolfsson
A00957,J.A.E. Stephenson
A00958,R. S. Dhillon
A00959,Erhard Mravlag
A00960,I. O. Voronkov
A00961,C.‐C. Cheng
A00962,M. L. Parkinson
A00963,P. L. Dyson
A00964,John C. Devlin
A00965,Endawoke Yizengaw
A00966,P. J. Wilkinson
A00967,J. C. Foster
A00968,Toshihiko Iyemori
A00969,F. Rich
A00970,G. K. Parks
A00971,K. Liou
A00972,Andrew J. Kavanagh
A00973,Farideh Honary
A00974,J. Manninen
A00975,P. C. Anderson
A00976,J.-P. St. Maurice
A00977,J. K. Gauld
A00978,L. Parker
A00979,R.R. Correll
A00980,S.C. Woodworth
A00981,A.A. Fisher
A00982,D.D. Babcock
A00983,J. Y. Lu
A00984,G. P. Zank
A00985,D. N. Baker
A00986,S. Eriksson
A00987,J. L. Burch
A00988,P. W. Daly
A00989,A. Korth
A00990,T. A. Fritz
A00991,H. U. Frey
A00992,S. B. Mende
A00993,J. Roeder
A00994,H. J. Singer
A00995,Larry Lyons
A00996,Leroy Cogger
A00997,D. W. Danskin
A00998,S. Nozawa
A00999,S. Milan
A01000,S. Hunter
A01001,Gregory J. Baker
A01002,Zoë C. Dent
A01003,J. Goldstein
A01004,C. R. Wilford
A01005,Kevin A. Douglas
A01006,David A. Lyder
A01007,R. S. Markel
A01008,T. Phol
A01009,U. Rüde
A01010,A. W. Yau
A01011,G. G. Arkos
A01012,C. Michler
A01013,D. Berube
A01014,J. M. Weygand
A01015,Ian C. McDade
A01016,Jack C. McConnell
A01017,D Michelangeli
A01018,John Caldwell
A01019,Julia M. Rees
A01020,Christopher R. Wilford
A01021,R. J. Moffett
A01022,Zoe C. Dent
A01023,V. A. Sergeev
A01024,M. V. Kubyshkina
A01025,J. Jussila
A01026,X. Vallières
A01027,J. L. Posch
A01028,V. A. Pilipenko
A01029,P. A. Cook
A01030,N. Mitchell
A01031,G. T. Blanchard
A01032,C. L. Ellington
A01033,J.A. Wild
A01034,M.W. Dunlop
A01035,C.J. Owen
A01036,J.M. Bosqued
A01037,M.G.G.T. Taylor
A01038,A.S. Yukimato
A01039,A.N. Fazakerley
A01040,S. A. Fuselier
A01041,M. Fraenz
A01042,C. Mouikis
A01043,H. Kucharek
A01044,L. M. Kistler
A01045,C. P. Escoubet
A01046,H. R` eme
A01047,I. Dandouras
A01048,J. A. Sauvaud
A01049,B. Klecker
A01050,C. Carlson
A01051,T. Phan
A01052,E. Amata
A01053,L. Eliasson
A01054,H. C. Stenbaek-Nielsen
A01055,S. Wei
A01056,A. Otto
A01057,Colin L. Waters
A01058,Frederick W. Menk
A01059,M.L. Parkinson
A01060,H. Ye
A01061,M.R. Hairston
A01062,J.C. Devlin
A01063,P.L. Dyson
A01064,C. R. Clauer
A01065,A. J. Ridley
A01066,Tetsuo Motoba
A01067,Takashi Kikuchi
A01068,Takashi Okuzawa
A01069,Kiyofumi Yumoto
A01070,T. P. O'Brien
A01071,K. R. Lorentzen
A01072,N. P. Meredith
A01073,J. F. Fennell
A01074,M. D. Looper
A01075,R. R. Anderson
A01076,I. S. Batista
A01077,M. R. Lessard
A01078,J. Hanna
A01079,J. Wanliss
A01080,Jianyong Lu
