paper_id,instrument_id,instrument_status
P00461,I00002,uses
P00461,I00001,uses
P00462,I00002,uses
P00462,I00001,uses
P00463,I00002,uses
P00463,I00001,uses
P00464,I00002,uses
P00464,I00001,uses
P00465,I00002,uses
P00465,I00001,uses
P00466,I00002,uses
P00466,I00005,uses
P00467,I00007,uses
P00468,I00002,uses
P00468,I00003,uses
P00469,I00002,uses
P00469,I00001,uses
P00469,I00008,uses
P00470,I00002,uses
P00470,I00005,uses
P00471,I00002,uses
P00471,I00005,uses
P00472,I00002,uses
P00472,I00001,uses
P00473,I00002,uses
P00473,I00001,uses
P00474,I00004,uses
P00475,I00002,uses
P00475,I00001,uses
P00476,I00002,uses
P00476,I00005,uses
P00477,I00002,uses
P00477,I00005,uses
P00478,I00002,uses
P00478,I00005,uses
P00479,I00002,uses
P00479,I00001,uses
P00480,I00002,uses
P00480,I00005,uses
P00481,I00002,uses
P00481,I00001,uses
P00482,I00002,uses
P00482,I00005,uses
P00483,I00002,uses
P00483,I00008,uses
P00484,I00002,uses
P00484,I00005,uses
P00485,I00002,uses
P00485,I00005,uses
P00486,I00002,uses
P00486,I00001,uses
P00487,I00004,uses
P00488,I00002,uses
P00488,I00005,uses
P00489,I00002,uses
P00489,I00001,uses
P00490,I00002,uses
P00490,I00001,uses
P00490,I00005,uses
P00491,I00002,uses
P00491,I00001,uses
P00492,I00002,uses
P00492,I00001,uses
P00493,I00002,uses
P00493,I00003,uses
P00494,I00002,uses
P00494,I00001,uses
P00495,I00002,uses
P00495,I00001,uses
P00495,I00003,uses
P00496,I00002,uses
P00496,I00005,uses
P00497,I00002,uses
P00497,I00001,uses
P00498,I00007,uses
P00498,I00002,uses
P00498,I00001,uses
P00499,I00002,uses
P00499,I00005,uses
P00500,I00002,uses
P00500,I00005,uses
P00501,I00002,uses
P00501,I00001,uses
P00501,I00005,uses
P00502,I00002,uses
P00502,I00009,uses
P00503,I00004,uses
P00504,I00002,uses
P00504,I00005,uses
P00505,I00004,uses
P00506,I00002,uses
P00506,I00005,uses
P00507,I00002,uses
P00507,I00003,uses
P00508,I00002,uses
P00508,I00005,uses
P00509,I00002,uses
P00509,I00005,uses
P00510,I00007,uses
P00510,I00002,uses
P00510,I00011,uses
P00511,I00002,uses
P00511,I00008,uses
P00512,I00002,uses
P00512,I00001,uses
P00513,I00002,uses
P00514,I00002,uses
P00514,I00005,uses
P00515,I00002,uses
P00515,I00005,uses
P00516,I00002,uses
P00516,I00005,uses
P00516,I00003,uses
P00517,I00002,uses
P00517,I00001,uses
P00518,I00002,uses
P00518,I00001,uses
P00518,I00003,uses
P00519,I00002,uses
P00519,I00005,uses
P00520,I00002,uses
P00520,I00005,uses
P00520,I00003,uses
P00521,I00002,uses
P00521,I00001,uses
P00521,I00009,uses
P00521,I00003,uses
P00522,I00002,uses
P00522,I00001,uses
P00523,I00002,uses
P00523,I00001,uses
P00524,I00002,uses
P00524,I00005,uses
P00525,I00002,uses
P00525,I00001,uses
P00525,I00009,uses
P00525,I00005,uses
P00526,I00002,uses
P00526,I00001,uses
P00527,I00002,uses
P00527,I00005,uses
P00528,I00002,uses
P00528,I00001,uses
P00529,I00002,uses
P00529,I00005,uses
P00530,I00007,uses
P00531,I00002,uses
P00531,I00003,uses
P00532,I00002,uses
P00532,I00005,uses
P00533,I00002,uses
P00533,I00005,uses
P00534,I00002,uses
P00534,I00001,uses
P00534,I00005,uses
P00535,I00002,uses
P00535,I00005,uses
